title,author,length
The Sandman: Act II,Neil Gaiman,13 hrs and 47 mins
A Court of Thorns and Roses (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,5 hrs and 51 mins
The Things We Cannot Say,Kelly Rimmer,13 hrs and 47 mins
A Little Hatred,Joe Abercrombie,20 hrs and 20 mins
Star Wars: Thrawn Ascendancy (Book II: Greater Good),Timothy Zahn,16 hrs and 17 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
Hunting Adeline,H. D. Carlton,17 hrs and 24 mins
Inheritance,Christopher Paolini,31 hrs and 17 mins
A Touch of Ruin,Scarlett St. Clair,12 hrs and 32 mins
The Lightning Thief,Rick Riordan,10 hrs and 2 mins
Forbidden Shifters Complete Series (Books 1-6),Selena Scott,54 hrs and 5 mins
I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins
The Crown of Gilded Bones,Jennifer L. Armentrout,25 hrs and 22 mins
Hunger: The Complete Trilogy,Jeremy Robinson,25 hrs and 6 mins
Fifty Shades Darker,E. L. James,19 hrs and 49 mins
The Dragon's Blade Trilogy,Michael R. Miller,45 hrs and 58 mins
A Light in the Flame,Jennifer L. Armentrout,26 hrs and 27 mins
The One Love Collection,Lauren Blakely,26 hrs and 6 mins
The Toll,Neal Shusterman,15 hrs and 22 mins
The Housemaid's Secret,Freida McFadden,9 hrs and 44 mins
A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 23 mins
All These Worlds,Dennis E. Taylor,7 hrs and 56 mins
For We Are Many,Dennis E. Taylor,8 hrs and 59 mins
From a Certain Point of View: Return of the Jedi (Star Wars),Olivie Blake,19 hrs and 36 mins
Black Friend,Ziwe,4 hrs and 15 mins
To Kill a Mockingbird,Harper Lee,12 hrs and 17 mins
The Creative Act,Rick Rubin,5 hrs and 45 mins
Watch Your Mouth,Kandi Steiner,10 hrs and 35 mins
The Witching Hour,Anne Rice,50 hrs and 1 min
ISO: In Search Of,Lucy Lennox,9 hrs and 29 mins
Behind the Net,Stephanie Archer,11 hrs and 38 mins
DEAD: Snapshot,TW Brown,6 hrs and 59 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,35 hrs and 5 mins
How to Win Friends and Influence People,Dale Carnegie,8 hrs and 18 mins
Democracy Awakening,Heather Cox Richardson,8 hrs and 28 mins
Maybe Someday,Colleen Hoover,10 hrs and 40 mins
Charm,Tracy Wolff,18 hrs and 45 mins
Synchronicity,Aeon Karris,5 hrs and 43 mins
Crush,Tracy Wolff,18 hrs and 8 mins
He Who Fights with Monsters 3,Shirtaloon,24 hrs and 39 mins
Overcoming Imposter Syndrome,Kelly Vincent,2 hrs and 10 mins
Fast Like a Girl,Dr. Mindy Pelz,8 hrs and 13 mins
The Last Olympian,Rick Riordan,11 hrs
The Four Agreements,don Miguel Ruiz,2 hrs and 31 mins
Building a Non-Anxious Life,Dr. John Delony,6 hrs and 9 mins
"Star Wars: The Thrawn Trilogy, Book 3: The Last Command",Timothy Zahn,15 hrs and 47 mins
The Josiah Manifesto,Jonathan Cahn,8 hrs and 47 mins
